freq,psd_x,psd_y,psd_z,psd_xyz
1.0,11451.1,1145.1,572.6,12596.2
1.1,11498.8,1149.9,574.9,12648.6
1.2,11546.7,1154.7,577.3,12701.4
1.3,11595.0,1159.5,579.8,12754.5
1.4,11643.6,1164.4,582.2,12807.9
1.5,11692.4,1169.2,584.6,12861.7
1.6,11741.6,1174.2,587.1,12915.8
1.7,11791.1,1179.1,589.6,12970.2
1.8,11840.8,1184.1,592.0,13024.9
1.9,11890.9,1189.1,594.5,13080.0
2.0,11941.3,1194.1,597.1,13135.4
2.1,11992.0,1199.2,599.6,13191.2
2.2,12043.0,1204.3,602.2,13247.3
2.3,12094.3,1209.4,604.7,13303.8
2.4,12146.0,1214.6,607.3,13360.6
2.5,12198.0,1219.8,609.9,13417.8
2.6,12250.3,1225.0,612.5,13475.3
2.7,12302.9,1230.3,615.1,13533.2
2.8,12355.8,1235.6,617.8,13591.4
2.9,12409.1,1240.9,620.5,13650.0
3.0,12462.8,1246.3,623.1,13709.0
3.1,12516.7,1251.7,625.8,13768.4
3.2,12571.0,1257.1,628.6,13828.1
3.3,12625.7,1262.6,631.3,13888.3
3.4,12680.7,1268.1,634.0,13948.8
3.5,12736.1,1273.6,636.8,14009.7
3.6,12791.8,1279.2,639.6,14071.0
3.7,12847.8,1284.8,642.4,14132.6
3.8,12904.3,1290.4,645.2,14194.7
3.9,12961.1,1296.1,648.1,14257.2
4.0,13018.2,1301.8,650.9,14320.1
4.1,13075.8,1307.6,653.8,14383.3
4.2,13133.7,1313.4,656.7,14447.0
4.3,13192.0,1319.2,659.6,14511.2
4.4,13250.6,1325.1,662.5,14575.7
4.5,13309.7,1331.0,665.5,14640.6
4.6,13369.1,1336.9,668.5,14706.0
4.7,13428.9,1342.9,671.4,14771.8
4.8,13489.2,1348.9,674.5,14838.1
4.9,13549.8,1355.0,677.5,14904.7
5.0,13610.8,1361.1,680.5,14971.9
5.1,13672.2,1367.2,683.6,15039.4
5.2,13734.1,1373.4,686.7,15107.5
5.3,13796.3,1379.6,689.8,15175.9
5.4,13859.0,1385.9,692.9,15244.9
