freq,psd_x,psd_y,psd_z,psd_xyz
1.0,14744.6,1474.5,737.2,16219.0
1.1,14822.2,1482.2,741.1,16304.4
1.2,14900.4,1490.0,745.0,16390.5
1.3,14979.3,1497.9,749.0,16477.2
1.4,15058.7,1505.9,752.9,16564.6
1.5,15138.8,1513.9,756.9,16652.7
1.6,15219.5,1522.0,761.0,16741.5
1.7,15300.9,1530.1,765.0,16831.0
1.8,15382.9,1538.3,769.1,16921.2
1.9,15465.5,1546.6,773.3,17012.1
2.0,15548.8,1554.9,777.4,17103.7
2.1,15632.8,1563.3,781.6,17196.1
2.2,15717.4,1571.7,785.9,17289.2
2.3,15802.7,1580.3,790.1,17383.0
2.4,15888.7,1588.9,794.4,17477.6
2.5,15975.4,1597.5,798.8,17572.9
2.6,16062.8,1606.3,803.1,17669.1
2.7,16150.9,1615.1,807.5,17766.0
2.8,16239.7,1624.0,812.0,17863.6
2.9,16329.2,1632.9,816.5,17962.1
3.0,16419.5,1641.9,821.0,18061.4
3.1,16510.4,1651.0,825.5,18161.5
3.2,16602.2,1660.2,830.1,18262.4
3.3,16694.7,1669.5,834.7,18364.2
3.4,16787.9,1678.8,839.4,18466.7
3.5,16882.0,1688.2,844.1,18570.2
3.6,16976.8,1697.7,848.8,18674.5
3.7,17072.4,1707.2,853.6,18779.6
3.8,17168.8,1716.9,858.4,18885.7
3.9,17266.0,1726.6,863.3,18992.6
4.0,17364.0,1736.4,868.2,19100.4
4.1,17462.9,1746.3,873.1,19209.2
4.2,17562.5,1756.3,878.1,19318.8
4.3,17663.1,1766.3,883.2,19429.4
4.4,17764.5,1776.4,888.2,19540.9
4.5,17866.7,1786.7,893.3,19653.4
4.6,17969.8,1797.0,898.5,19766.8
4.7,18073.8,1807.4,903.7,19881.2
4.8,18178.7,1817.9,908.9,19996.6
4.9,18284.5,1828.4,914.2,20112.9
5.0,18391.2,1839.1,919.6,20230.3
5.1,18498.8,1849.9,924.9,20348.7
5.2,18607.4,1860.7,930.4,20468.1
5.3,18716.9,1871.7,935.8,20588.6
5.4,18827.4,1882.7,941.4,20710.1
5.5,18938.8,1893.9,946.9,20832.7
5.6,19051.3,1905.1,952.6,20956.4
5.7,19164.7,1916.5,958.2,21081.1
5.8,19279.1,1927.9,964.0,21207.0
5.9,19394.5,1939.5,969.7,21334.0
6.0,19511.0,1951.1,975.5,21462.1
6.1,19628.5,1962.8,981.4,21591.3
6.2,19747.0,1974.7,987.4,21721.7
